,CATEGORIE,DATE,QUART,PDQ,X,Y,LONGITUDE,LATITUDE
220069,Vol de véhicule à moteur,2023-01-28,soir,31.0,296915.812992836,5045482.75099532,-73.600973,45.549213
220070,Vol de véhicule à moteur,2023-01-28,soir,7.0,289030.073,5039917.322,-73.701786,45.499
220071,Vol de véhicule à moteur,2023-01-28,soir,4.0,281746.812995011,5038067.50000358,-73.794892,45.482152
220072,Méfait,2023-01-28,soir,22.0,299857.202000676,5042558.08700028,-73.563273,45.522923
220076,Méfait,2023-01-29,jour,3.0,278849.5940030511,5041316.500006369,-73.832124,45.511286
220077,Vol de véhicule à moteur,2023-01-29,jour,3.0,274238.276649089,5036088.952362649,-73.890815,45.46406
220078,Vol de véhicule à moteur,2023-01-29,jour,42.0,297599.780996317,5050378.500007849,-73.592286,45.593274
220079,Vol de véhicule à moteur,2023-01-29,jour,48.0,303116.413009249,5050274.10300671,-73.521578,45.59237
220080,Vol dans / sur véhicule à moteur,2023-01-29,jour,13.0,294220.718999434,5032352.50000538,-73.635206,45.431026
220081,Vol de véhicule à moteur,2023-01-29,jour,9.0,295366.790010382,5036833.70799959,-73.620645,45.471367
220082,Vol dans / sur véhicule à moteur,2023-01-29,jour,15.0,298127.100996992,5035046.68199347,-73.585318,45.455318
220083,Vol de véhicule à moteur,2023-01-30,nuit,48.0,302904.495001501,5052284.54899277,-73.524302,45.61046
220086,Vol dans / sur véhicule à moteur,2023-01-17,nuit,49.0,304207.031995193,5057141.49800376,-73.507608,45.654166
220087,Vol dans / sur véhicule à moteur,2023-01-17,jour,22.0,301121.969992317,5043154.01999334,-73.547087,45.528294
220088,Vol de véhicule à moteur,2023-01-30,jour,26.0,292240.877003305,5039886.05300504,-73.660701,45.498784
220091,Vol dans / sur véhicule à moteur,2023-01-30,soir,20.0,299514.328002881,5039821.76200076,-73.567633,45.498298
220092,Introduction,2023-01-30,soir,23.0,301525.739993726,5044387.55899099,-73.541926,45.539395
220093,Introduction,2023-01-30,soir,26.0,294892.735994554,5039948.08099801,-73.626771,45.499385
220095,Introduction,2023-01-30,soir,26.0,294892.735994554,5039948.08099801,-73.626771,45.499385
220096,Introduction,2023-01-31,nuit,42.0,297026.655991041,5048487.00000584,-73.599601,45.576248
220097,Vol de véhicule à moteur,2023-01-31,nuit,16.0,299645.188,5035871.0,-73.565917,45.462748
220100,Méfait,2023-01-17,soir,1.0,277546.749993764,5032856.49999748,-73.848329,45.43511
220101,Vol de véhicule à moteur,2023-01-31,jour,46.0,300845.051993035,5050926.09100417,-73.550695,45.598228
220102,Vol dans / sur véhicule à moteur,2023-01-17,jour,21.0,299621.716004548,5041432.57499743,-73.566276,45.512794
220103,Méfait,2023-01-27,jour,48.0,300943.694998629,5048733.593004529,-73.549413,45.5785
220104,Vol dans / sur véhicule à moteur,2023-01-30,jour,5.0,282666.281004402,5035043.49999596,-73.782995,45.454971
220105,Vol dans / sur véhicule à moteur,2023-01-31,jour,23.0,301252.433990514,5044504.53400836,-73.545427,45.540447
220106,Méfait,2023-01-31,soir,46.0,298870.844007287,5051836.0000024,-73.576012,45.606401
220107,Introduction,2023-02-01,nuit,31.0,295580.85800559,5044223.11999945,-73.618046,45.537862
220108,Vol de véhicule à moteur,2023-02-01,jour,39.0,295406.43799415,5051399.00000503,-73.620417,45.602431
220109,Vol de véhicule à moteur,2023-02-01,jour,35.0,297123.693998274,5044610.4850053,-73.598297,45.541367
