,CATEGORIE,DATE,QUART,PDQ,X,Y,LONGITUDE,LATITUDE
189146,Vol de véhicule à moteur,2023-01-30,jour,20.0,299226.151,5040041.84,-73.571323,45.500276
193392,Méfait,2023-01-20,jour,30.0,296882.8479965431,5047086.3750034,-73.601421,45.563643
193397,Vol dans / sur véhicule à moteur,2023-01-20,soir,23.0,300694.586995567,5045002.11099874,-73.552574,45.544921
193398,Vol dans / sur véhicule à moteur,2023-01-20,soir,20.0,298104.652998592,5040035.00600275,-73.585673,45.500205
213397,Vol de véhicule à moteur,2023-01-16,jour,42.0,298325.813006937,5048629.50000339,-73.582957,45.577543
213398,Vol de véhicule à moteur,2023-01-16,jour,45.0,296987.315001447,5053868.909001529,-73.600191,45.624675
213399,Vol de véhicule à moteur,2023-01-16,jour,48.0,303771.888992888,5050339.38199726,-73.513177,45.592959
213400,Vol de véhicule à moteur,2023-01-16,jour,1.0,270430.027992385,5029434.5909935,-73.939048,45.404005
213401,Introduction,2023-01-16,jour,49.0,305368.94299296493,5055018.4650045,-73.492702,45.635063
213403,Vol de véhicule à moteur,2023-01-16,soir,7.0,290215.656,5042515.5,-73.686693,45.522405
213404,Introduction,2023-01-17,nuit,50.0,302016.025,5050752.982,-73.535684,45.596676
213405,Introduction,2023-01-17,jour,49.0,305472.522990139,5055301.99500307,-73.491373,45.637614
213406,Méfait,2023-01-17,jour,10.0,292854.259,5043730.233,-73.652947,45.533386
213407,Vol de véhicule à moteur,2023-01-17,jour,46.0,300663.593993949,5052790.500001489,-73.553037,45.615003
213408,Méfait,2023-01-17,jour,31.0,294795.500993501,5044942.0649926495,-73.628117,45.544321
213409,Vol de véhicule à moteur,2023-01-17,jour,7.0,285777.482990321,5040398.486994009,-73.743424,45.503248
213410,Méfait,2023-01-17,jour,45.0,297343.121,5054147.676,-73.595633,45.627188
213411,Vols qualifiés,2023-01-17,jour,20.0,299782.401,5039306.082,-73.564197,45.49366
213412,Vol dans / sur véhicule à moteur,2023-01-17,jour,22.0,300898.363006265,5043297.59399344,-73.549951,45.529584
213413,Vol dans / sur véhicule à moteur,2023-01-17,soir,16.0,299467.125,5036717.5,-73.568203,45.470364
213414,Vols qualifiés,2023-01-17,soir,50.0,300757.711,5042597.38,-73.551746,45.523283
213415,Introduction,2023-01-17,soir,27.0,293205.10298957606,5044756.05199415,-73.648479,45.542622
213416,Vol de véhicule à moteur,2023-01-17,soir,26.0,292095.60500798,5038977.78599923,-73.662537,45.490608
213417,Vol de véhicule à moteur,2023-01-17,soir,48.0,302729.427,5049772.047,-73.526536,45.587851
213418,Méfait,2023-01-17,soir,50.0,298613.236,5038123.506,-73.579141,45.483009
213419,Méfait,2023-01-17,soir,50.0,301105.138,5046734.407,-73.54733,45.560511
213420,Vol dans / sur véhicule à moteur,2023-01-17,soir,23.0,302133.428995584,5045645.13799142,-73.534152,45.550714
213421,Introduction,2023-01-18,nuit,50.0,294739.102,5044817.065,-73.628836,45.543195
213422,Vols qualifiés,2023-01-18,jour,9.0,295621.008991954,5037231.26299245,-73.617401,45.474947
213423,Vol de véhicule à moteur,2023-01-18,jour,10.0,289334.497991538,5043103.99199669,-73.697992,45.527682
213424,Introduction,2023-01-18,jour,13.0,296543.533,5032726.288,-73.605526,45.434421
213426,Vol de véhicule à moteur,2023-01-18,jour,7.0,287494.000010562,5041540.500004889,-73.721498,45.513569
213427,Vol de véhicule à moteur,2023-01-18,jour,30.0,296877.480000651,5046044.07599268,-73.601473,45.554264
213428,Vol de véhicule à moteur,2023-01-18,jour,42.0,298363.518000992,5050593.7189922,-73.5825,45.595218
213429,Vol de véhicule à moteur,2023-01-18,jour,26.0,293634.955,5040523.549,-73.642878,45.504544
213430,Méfait,2023-01-18,jour,15.0,299323.293996279,5038476.7330047,-73.570062,45.486194
213431,Vols qualifiés,2023-01-18,soir,15.0,296558.302992627,5034533.89099382,-73.605368,45.450687
213432,Introduction,2023-01-18,soir,23.0,301352.28599319205,5044721.990002929,-73.54415,45.542404
213433,Vol dans / sur véhicule à moteur,2023-01-18,soir,45.0,299138.718006611,5056416.26800895,-73.572631,45.647618
213434,Méfait,2023-01-18,soir,7.0,291320.529,5042291.009,-73.672544,45.520407
213435,Introduction,2023-01-18,soir,26.0,294802.625010636,5041423.14500127,-73.627954,45.512656
213436,Vol de véhicule à moteur,2023-01-18,soir,42.0,298529.943996385,5048250.50399169,-73.580336,45.574135
213437,Introduction,2023-01-18,soir,3.0,275423.43799449,5038199.000001449,-73.875786,45.483098
213438,Vols qualifiés,2023-01-18,soir,50.0,300026.312,5041712.579,-73.5611,45.515316
213439,Méfait,2023-01-19,nuit,48.0,303555.78000375605,5050433.54100657,-73.515947,45.593806
213440,Introduction,2023-01-19,nuit,10.0,289030.869999584,5043585.21699937,-73.701894,45.532005
213441,Vol de véhicule à moteur,2023-01-19,nuit,10.0,287247.703003908,5042920.48199696,-73.7247,45.525981
213442,Méfait,2023-01-19,nuit,48.0,303555.78000375605,5050433.54100657,-73.515947,45.593806
213444,Introduction,2023-01-19,jour,39.0,295577.557994946,5053403.56299782,-73.618262,45.620471
213445,Introduction,2023-01-19,jour,39.0,295870.75,5051459.0,-73.614466,45.602977
213446,Vol de véhicule à moteur,2023-01-19,jour,15.0,298155.243,5035475.565,-73.584964,45.459178
213600,Vol de véhicule à moteur,2023-01-19,jour,8.0,292557.92,5033637.581,-73.656489,45.442563
213601,Vol de véhicule à moteur,2023-01-19,jour,8.0,290583.0940030741,5034278.99999972,-73.681751,45.448297
213603,Introduction,2023-01-19,jour,39.0,295154.769007171,5051741.21999254,-73.62365,45.605507
213605,Vol de véhicule à moteur,2023-01-19,jour,44.0,299300.283999961,5045666.60500519,-73.570437,45.550891
213606,Vol dans / sur véhicule à moteur,2023-01-19,jour,16.0,299839.37500257493,5035308.00000498,-73.563428,45.457684
213607,Vol de véhicule à moteur,2023-01-19,soir,7.0,289310.419,5038392.202,-73.698151,45.485283
213608,Vol dans / sur véhicule à moteur,2023-01-19,soir,16.0,299129.438003944,5034466.49999263,-73.572496,45.450106
213609,Vol de véhicule à moteur,2023-01-19,soir,31.0,294203.891,5043506.4,-73.635662,45.531394
213610,Vol de véhicule à moteur,2023-01-19,soir,31.0,295012.396008538,5042817.02699426,-73.625297,45.525202
213611,Vol dans / sur véhicule à moteur,2023-01-19,soir,1.0,269542.719009794,5029358.00000858,-73.950377,45.403272
213612,Introduction,2023-01-20,nuit,10.0,289372.772009823,5045148.67499539,-73.697566,45.546081
213614,Méfait,2023-01-20,jour,42.0,298796.28098977805,5050551.49999452,-73.576952,45.594842
213615,Méfait,2023-01-20,jour,3.0,275079.780991249,5035636.00000217,-73.880027,45.460021
213617,Vol de véhicule à moteur,2023-01-20,jour,48.0,303292.112002418,5050897.59999318,-73.519328,45.597981
213618,Introduction,2023-01-20,jour,16.0,299166.6030001511,5035702.79299672,-73.572035,45.461231
213619,Introduction,2023-01-20,jour,23.0,301835.47415,5044517.139102,-73.537961,45.540563
213620,Méfait,2023-01-20,jour,1.0,270430.027992385,5029434.5909935,-73.939048,45.404005
213621,Vol de véhicule à moteur,2023-01-20,jour,7.0,288226.717,5042794.234,-73.712163,45.524869
213622,Vol dans / sur véhicule à moteur,2023-01-20,soir,30.0,296570.55499709,5047611.05999635,-73.605431,45.568361
213623,Vols qualifiés,2023-01-20,soir,42.0,296200.62500356,5049743.99999619,-73.610207,45.587549
213624,Introduction,2023-01-20,soir,7.0,290862.8439920161,5040551.49999347,-73.678353,45.504745
213625,Méfait,2023-01-21,nuit,27.0,293713.97300669405,5045308.86499139,-73.641975,45.547605
213628,Vol dans / sur véhicule à moteur,2023-01-21,nuit,39.0,295376.584,5053799.693,-73.620846,45.624032
213629,Vol de véhicule à moteur,2023-01-21,jour,38.0,299435.289009884,5044192.60000526,-73.568692,45.537628
213630,Vol de véhicule à moteur,2023-01-21,jour,35.0,297207.092989755,5044741.98500317,-73.597231,45.542551
213632,Introduction,2023-01-21,nuit,39.0,295376.584,5053799.693,-73.620846,45.624032
213633,Méfait,2023-01-21,jour,50.0,298362.203,5042737.083,-73.582413,45.524522
213635,Introduction,2023-01-21,soir,9.0,293643.374993209,5037946.50000708,-73.642712,45.481355
213636,Introduction,2023-01-21,soir,22.0,300898.363006265,5043297.59399344,-73.549951,45.529584
